benchmark,method,prediction_dir,sample_count,psnr_mean,psnr_std,rmse_mean,rmse_std,ssim_mean,ssim_std,gradient_ratio_mean,gradient_ratio_std,lpips_mean,lpips_std,perceptual_ratio_mean,perceptual_ratio_std
msg-mtg,Bicubic,/share/data/drive_3/hanan/iclr2026_workshop/msg_mtg/bicubic_msg_mtg_pred,500,15.600690304333199,4.6382954200029625,0.19112897776645446,0.10521415637960604,0.6470302701592445,0.1837617577670173,0.18566583262520844,0.11528429191830666,0.6168700695931911,0.14972878856457258,1.0,0.0
msg-mtg,Stage1-005k,/share/data/drive_3/hanan/iclr2026_workshop/journal_stage1_sweep/msg_mtg/step_005000,500,24.11677933483304,4.203569639755593,0.07072140895113918,0.04203459049631291,0.7667430462837219,0.09690650063159591,0.6217106902589948,0.13017927703934876,0.2943944977670908,0.08064508618675285,0.4853217856742396,0.1081501218942544
msg-mtg,Stage1-010k,/share/data/drive_3/hanan/iclr2026_workshop/journal_stage1_sweep/msg_mtg/step_010000,500,24.12568731478281,4.1254611924583715,0.0703743710344017,0.04135151215521564,0.7705359474420548,0.09715758144513474,0.6493914230491712,0.13734344228613257,0.2977934486418963,0.07782135188751924,0.4930276694347228,0.11062478424733768
msg-mtg,Stage1-015k,/share/data/drive_3/hanan/iclr2026_workshop/journal_stage1_sweep/msg_mtg/step_015000,500,23.874042626575786,4.226989605548931,0.07283439870204762,0.04351957027089369,0.7626968397498131,0.101444149124928,0.7961873515591017,0.1975850724745153,0.23503011487424375,0.06209531531326058,0.39091066153284315,0.09388217313897608
msg-mtg,Stage1-020k,/share/data/drive_3/hanan/iclr2026_workshop/journal_stage1_sweep/msg_mtg/step_020000,500,23.813773620588414,4.464604297095511,0.07428904704571375,0.0457357814035646,0.7644347630739212,0.10482630906379153,0.7964659078710865,0.2063681201407211,0.23924337390065192,0.06506871238110838,0.39661960389134765,0.09472240519038574
msg-mtg,Stage1-025k,/share/data/drive_3/hanan/iclr2026_workshop/journal_stage1_sweep/msg_mtg/step_025000,500,24.18723239029655,4.236400684158105,0.07033476875161941,0.042472669192536096,0.7694380760192872,0.09957694700533597,0.7499681595492944,0.1752273770040403,0.24470943014323712,0.06647500053993455,0.4052414559953945,0.09448368706580194
msg-mtg,Stage1-030k,/share/data/drive_3/hanan/iclr2026_workshop/journal_stage1_sweep/msg_mtg/step_030000,500,23.366867379598116,4.478645951779317,0.07792046534927413,0.04608226645519884,0.7547742633223533,0.1094115944087255,0.9566048967688883,0.25346473315327855,0.25950667056441307,0.07818465488195517,0.42328715537730494,0.08780603568946972
msg-mtg,Stage1-035k,/share/data/drive_3/hanan/iclr2026_workshop/journal_stage1_sweep/msg_mtg/step_035000,500,23.65250790282029,4.532311464709392,0.0757752597823369,0.04599168350206008,0.7632929709553719,0.10338284671222692,0.8624006159253561,0.20696607806981432,0.2378299473375082,0.06516477552362487,0.3933379292527235,0.09058291063003002
msg-mtg,Stage1-040k,/share/data/drive_3/hanan/iclr2026_workshop/journal_stage1_sweep/msg_mtg/step_040000,500,23.966268677536263,4.419585493374615,0.07273642796213943,0.04421189573956708,0.7731048347949981,0.09758461175475847,0.7982250585368159,0.19529070112129085,0.24771813851594926,0.06574810879786404,0.4104035780165761,0.09312312633992581
msg-mtg,Stage1-045k,/share/data/drive_3/hanan/iclr2026_workshop/journal_stage1_sweep/msg_mtg/step_045000,500,23.773409243691862,4.538042632945915,0.07473554627338641,0.04552808935299607,0.7642611140608787,0.10634185050036807,0.8447313130231551,0.22305735381604563,0.23930078670382499,0.06513589240097584,0.3962595266744579,0.09289440047788686
