benchmark,method,prediction_dir,sample_count,psnr_mean,psnr_std,rmse_mean,rmse_std,ssim_mean,ssim_std,gradient_ratio_mean,gradient_ratio_std,lpips_mean,lpips_std,perceptual_ratio_mean,perceptual_ratio_std
seviri-viirs,Bicubic,/share/data/drive_3/hanan/iclr2026_workshop/checkpoint_selection_inputs/bicubic_seviri_stride5_200,200,21.484027789670403,3.4213091257368853,0.08912027430369779,0.022802110347829228,0.7875040438771248,0.06951993997342941,0.1747780134687059,0.11919336608825029,0.4545635886117816,0.15722076628910372,1.0,0.0
seviri-viirs,Stage1-005k,/share/data/drive_3/hanan/iclr2026_workshop/journal_stage1_selection_200/seviri_viirs/step_005000,200,20.071059879903633,2.9571526695362653,0.10493930076442932,0.03426986703212689,0.6622757600247859,0.10169993104690532,0.3275645863894509,0.13267074953987723,0.4469572484865785,0.14278601160299736,1.0125900233890759,0.10906809258231243
seviri-viirs,Stage1-010k,/share/data/drive_3/hanan/iclr2026_workshop/journal_stage1_selection_200/seviri_viirs/step_010000,200,20.23022203380249,2.7720939554081014,0.10235866077920276,0.031584777391046835,0.6708008016645909,0.09538912588665853,0.32431758425531837,0.2008593376763623,0.457351181153208,0.14752420627928017,1.0350196816606512,0.1274698392423388
seviri-viirs,Stage1-015k,/share/data/drive_3/hanan/iclr2026_workshop/journal_stage1_selection_200/seviri_viirs/step_015000,200,20.23041830647822,3.0708725243848964,0.10349879213961874,0.03516606165482104,0.6509783121943474,0.10815102465689509,0.4803277467465587,0.21409430728557816,0.430211918707937,0.14510134252900078,0.967638606110117,0.12272175152316842
seviri-viirs,Stage1-020k,/share/data/drive_3/hanan/iclr2026_workshop/journal_stage1_selection_200/seviri_viirs/step_020000,200,20.381433687480776,3.398111491837075,0.10296010136485886,0.03750945863334382,0.5740667289495468,0.09250293169093202,1.1358654751078756,0.4453417375280117,0.4182226742431521,0.13774641538866006,0.9619567926180119,0.2156698952691463
seviri-viirs,Stage1-025k,/share/data/drive_3/hanan/iclr2026_workshop/journal_stage1_selection_200/seviri_viirs/step_025000,200,20.67464154948482,3.5182000016102393,0.10010318948752413,0.038034369087227834,0.645164995342493,0.10452682410135944,0.648528721566128,0.3286879121987517,0.3889432772621512,0.12744734775281213,0.8947101151032315,0.1938362222651732
seviri-viirs,Stage1-030k,/share/data/drive_3/hanan/iclr2026_workshop/journal_stage1_selection_200/seviri_viirs/step_030000,200,20.452293272456696,3.4954756831998277,0.1025813004311821,0.03862345028560624,0.6365443086624145,0.09925589790459259,0.6985477568310903,0.49502057458603005,0.4060110544785857,0.13651183509383003,0.9367936294579932,0.21977999455325878
seviri-viirs,Stage1-035k,/share/data/drive_3/hanan/iclr2026_workshop/journal_stage1_selection_200/seviri_viirs/step_035000,200,20.227859412365486,3.175494109066414,0.10386346022428486,0.03564023502916406,0.6074790413677692,0.08586113964096712,0.861168208603849,0.2731334956626602,0.4025559552386403,0.13373492909576123,0.9208471861629494,0.1826926949240313
seviri-viirs,Stage1-040k,/share/data/drive_3/hanan/iclr2026_workshop/journal_stage1_selection_200/seviri_viirs/step_040000,200,20.3043744483235,3.542156141349053,0.10450313689832372,0.03944010596240308,0.6259896738827229,0.09854628016817059,0.7694568783820409,0.38878373760073126,0.40124359890818595,0.13306712189462863,0.9245045995133866,0.19517882700610045
seviri-viirs,Stage1-045k,/share/data/drive_3/hanan/iclr2026_workshop/journal_stage1_selection_200/seviri_viirs/step_045000,200,20.39310770219856,3.3119725927384818,0.10244351995784116,0.03637489095491267,0.6143403454124927,0.09274391727501174,0.8730944424544081,0.40621275362191844,0.40942287173122166,0.13266161500934678,0.9425010673238563,0.19947981993024155
seviri-viirs,Stage1-050k,/share/data/drive_3/hanan/iclr2026_workshop/journal_stage1_selection_200/seviri_viirs/step_050000,200,20.28604101720315,3.1279085134023745,0.1029699795131695,0.03479597979969911,0.6016983632743359,0.08703357724060123,0.9207840422926594,0.27853860622181004,0.4196184253878891,0.1387743876623257,0.951770723098535,0.15531694292639214
seviri-viirs,Stage1-055k,/share/data/drive_3/hanan/iclr2026_workshop/journal_stage1_selection_200/seviri_viirs/step_055000,200,20.556877813867168,3.3070060978262696,0.10047020748475542,0.035332675442275564,0.6100215770304203,0.08818185106353006,0.9219660525594182,0.3401951240208129,0.4035844448953867,0.13110614606379536,0.9199650985652142,0.13964866751256402
